Supplemental Data. Flowers et al. (2015). Plant Cell Plant Cell 10.1105/tpc.15.00492
Gene_ID	Transcript_ID	piN	piS	piNpiS	Nonsynonymous	Synonymous
Cre01.g000050	Cre01.g000050.t1.3	0.0137652183452175	0.0317112272669727	0.434080277919551	117	99
Cre01.g000100	Cre01.g000100.t1.3	0.0173750560348985	0.0299185511780412	0.580745235004928	204	128
Cre01.g000150	Cre01.g000150.t1.2	0.00869291453327178	0.0333066402984274	0.260996439610339	44	64
Cre01.g000200	Cre01.g000200.t1.3	0.00661359984129197	0.0250435701527339	0.264083746884228	33	42
Cre01.g000250	Cre01.g000250.t1.2	0.00256658349989863	0.0245432805148852	0.104573775227074	5	16
Cre01.g000300	Cre01.g000300.t1.3	0.00168324112211538	0.0261849289896267	0.064282821724749	7	30
Cre01.g000350	Cre01.g000350.t1.3	0.00905528121159771	0.024399403753444	0.371127151429655	21	22
Cre01.g000400	Cre01.g000400.t1.2	0.00352916667715647	0.0307248536754929	0.114863579642413	17	40
Cre01.g000450	Cre01.g000450.t1.2	0.000916242673356486	0.03801504043821	0.0241021096596163	4	40
Cre01.g000500	Cre01.g000500.t1.3	0.00865042217760459	0.0488405608865631	0.177115537180173	31	58
Cre01.g000550	Cre01.g000550.t1.2	0.0148686351944052	0.0336290287081184	0.442136920559223	75	72
Cre01.g000600	Cre01.g000600.t1.2	0	0.0241117491104114	0	0	29
Cre01.g000650	Cre01.g000650.t1.3	0.00364359569001164	0.0379187610020503	0.0960895238590373	14	67
Cre01.g000750	Cre01.g000750.t1.3	0.00651870118235832	0.0245818052786633	0.26518398907083	36	55
Cre01.g000800	Cre01.g000800.t2.1	0.00295967275774439	0.0347315437831574	0.085215698335288	3	13
Cre01.g000850	Cre01.g000850.t1.2	0.00159488280398517	0.0236670422071125	0.0673883449409607	2	7
Cre01.g000900	Cre01.g000900.t1.2	0.00017111494476998	0.0244686061071888	0.00699324448725777	1	38
Cre01.g000950	Cre01.g000950.t1.3	0.00887903243597949	0.0289331469285771	0.306880978342861	39	51
Cre01.g001000	Cre01.g001000.t1.3	0.0129174080542074	0.0277821870161126	0.464952886780144	87	69
Cre01.g001100	Cre01.g001100.t1.2	0.0015020289503967	0.0244203502919099	0.0615072647378978	7	35
Cre01.g001150	Cre01.g001150.t1.3	0.0159769745420617	0.0246393552734203	0.648433141401912	295	175
Cre01.g001200	Cre01.g001200.t1.3	0.0113932264904665	0.0366092989106263	0.311211272258466	135	203
Cre01.g001350	Cre01.g001350.t1.2	0.00478860173235876	0.0414167435275694	0.115619947984834	24	77
Cre01.g001400	Cre01.g001400.t1.1	0.00719423514958552	0.0364012127975205	0.197637237792131	58	117
Cre01.g001550	Cre01.g001550.t1.3	0.000767769774420606	0.0163376846505035	0.0469937932359922	3	18
Cre01.g001600	Cre01.g001600.t1.2	0.00861510242710054	0.0265151146890858	0.324912885654864	35	36
Cre01.g001650	Cre01.g001650.t1.2	0.00429543345558496	0.027653833955655	0.155328677480056	15	36
Cre01.g001750	Cre01.g001750.t1.2	0.00198313214382664	0.0301699630453917	0.0657320044059368	9	40
Cre01.g001800	Cre01.g001800.t1.3	0.00292195769831156	0.0288238265267823	0.10137299763432	17	65
Cre01.g001950	Cre01.g001950.t1.2	0.00245590581263002	0.038292343262512	0.0641356888449901	8	38
Cre01.g002050	Cre01.g002050.t1.2	0.00898626472235964	0.0420997329674147	0.213451822350394	32	69
Cre01.g002100	Cre01.g002100.t1.2	0.0122025158572518	0.0289848852117365	0.420995831727867	73	80
Cre01.g002150	Cre01.g002150.t1.2	0.00665257948516964	0.0335556862684078	0.198254907736247	13	32
Cre01.g002200	Cre01.g002200.t1.2	0.000588471262308059	0.0348248170218666	0.0168980431954188	1	9
Cre01.g002201	Cre01.g002201.t1.2	0.0135383724247297	0.050453077485258	0.26833590931466	78	108
Cre01.g002227	Cre01.g002227.t1.2	0.0238431217475895	0.0570894023471159	0.417645320625678	29	28
Cre01.g002236	Cre01.g002236.t2.1	0.0244446663721002	0.0427632807483675	0.571627479096851	13	7
Cre01.g002250	Cre01.g002250.t1.2	0.00165900302955837	0.0390208969219741	0.0425157584889886	3	25
Cre01.g002300	Cre01.g002300.t1.2	0	0.0199816313391666	0	0	12
Cre01.g002350	Cre01.g002350.t1.3	0.000818150122458737	0.0269942895365781	0.0303082665446748	5	44
Cre01.g002400	Cre01.g002400.t1.3	0.00140880586453366	0.0198833984944339	0.0708533737292464	2	10
Cre01.g002500	Cre01.g002500.t1.2	0.00283627330518619	0.0149442893092393	0.189789774976631	5	9
Cre01.g002550	Cre01.g002550.t1.3	0.00257916440489901	0.022080620318655	0.116806700521904	5	22
Cre01.g002600	Cre01.g002600.t1.2	0.00917564865439709	0.0255142475489153	0.359628424738209	29	32
Cre01.g002650	Cre01.g002650.t1.2	0.014849876525896	0.0438972867949477	0.338286887644389	46	51
Cre01.g002700	Cre01.g002700.t1.2	0.0121805014391935	0.032266745293068	0.377493959448406	90	98
Cre01.g002750	Cre01.g002750.t2.1	0.010919010567671	0.0327515859849445	0.333388757805206	27	32
Cre01.g002800	Cre01.g002800.t1.3	0.0079531236995472	0.0373949558460672	0.212679050412186	199	382
Cre01.g002900	Cre01.g002900.t1.2	0	0.0424242424242424	0	0	7
Cre01.g002950	Cre01.g002950.t1.3	0.0157092775108003	0.0564659680170558	0.278207884544815	40	60
Cre01.g003000	Cre01.g003000.t1.3	0.0157425473637567	0.0590365824351059	0.26665749801932	71	114
Cre01.g003050	Cre01.g003050.t1.2	0.00493095237322809	0.0411036059745753	0.119963985064428	33	174
Cre01.g003100	Cre01.g003100.t1.3	0.0139811765885949	0.0481464923550236	0.290388269315658	57	82
Cre01.g003150	Cre01.g003150.t1.2	0.00304352876792883	0.036235052163845	0.0839940495784808	18	81
Cre01.g003200	Cre01.g003200.t1.2	0.00906306090593463	0.0494145136742364	0.183408886014392	28	55
Cre01.g003300	Cre01.g003300.t1.2	0.00734111508287726	0.0403170742812401	0.182084519121298	16	35
Cre01.g003450	Cre01.g003450.t2.1	0.00944829729362911	0.0521215005105279	0.181274468330409	50	131
Cre01.g003519	Cre01.g003519.t1.2	0.00725377059073	0.0599758363708192	0.120944884301093	16	57
Cre01.g003550	Cre01.g003550.t1.3	0.00744050108914166	0.0386001470534004	0.192758361227181	44	82
