gene_id	protein_id
Sro100_g008401	CAB9501101.1
Sro100_g051080	CAB9501102.1
Sro100_g051090	CAB9501103.1
Sro100_g051100	CAB9501104.1
Sro100_g051110	CAB9501105.1
Sro100_g051120	CAB9501106.1
Sro100_g051130	CAB9501107.1
Sro100_g051140	CAB9501108.1
Sro100_g051150	CAB9501109.1
Sro100_g051160	CAB9501110.1
Sro100_g051170	CAB9501111.1
Sro100_g051171	CAB9501112.1
Sro100_g051180	CAB9501113.1
Sro100_g051190	CAB9501114.1
Sro100_g051200	CAB9501115.1
Sro100_g051210	CAB9501116.1
Sro100_g051220	CAB9501117.1
Sro100_g051230	CAB9501118.1
Sro100_g051240	CAB9501119.1
Sro100_g051250	CAB9501120.1
Sro100_g051260	CAB9501121.1
Sro100_g051270	CAB9501122.1
Sro100_g051280	CAB9501123.1
Sro100_g051290	CAB9501124.1
Sro100_g051300	CAB9501125.1
Sro100_g051310	CAB9501126.1
Sro100_g051320	CAB9501127.1
Sro100_g051330	CAB9501128.1
Sro100_g051340	CAB9501129.1
Sro100_g051350	CAB9501130.1
Sro100_g051360	CAB9501131.1
Sro100_g051370	CAB9501132.1
Sro100_g051380	CAB9501133.1
Sro100_g051390	CAB9501134.1
Sro100_g051400	CAB9501135.1
Sro100_g051410	CAB9501136.1
Sro100_g051420	CAB9501137.1
Sro100_g051430	CAB9501138.1
Sro101_g051440	CAB9501139.1
Sro101_g051450	CAB9501140.1
Sro101_g051460	CAB9501141.1
Sro101_g051470	CAB9501142.1
Sro101_g051480	CAB9501143.1
Sro101_g051490	CAB9501144.1
Sro101_g051500	CAB9501145.1
Sro101_g051510	CAB9501146.1
Sro101_g051520	CAB9501147.1
Sro101_g051530	CAB9501148.1
Sro101_g051540	CAB9501149.1
Sro101_g051550	CAB9501150.1
Sro101_g051560	CAB9501151.1
Sro101_g051570	CAB9501152.1
Sro101_g051580	CAB9501153.1
Sro101_g051590	CAB9501154.1
Sro101_g051600	CAB9501155.1
Sro101_g051610	CAB9501156.1
Sro101_g051620	CAB9501157.1
Sro101_g051630	CAB9501158.1
Sro101_g051640	CAB9501159.1
Sro101_g051650	CAB9501160.1
Sro101_g051660	CAB9501161.1
Sro101_g051670	CAB9501162.1
Sro101_g051680	CAB9501163.1
Sro101_g051690	CAB9501164.1
Sro101_g051700	CAB9501165.1
Sro101_g051710	CAB9501166.1
Sro101_g051720	CAB9501167.1
Sro101_g051730	CAB9501168.1
Sro101_g051740	CAB9501169.1
Sro101_g051750	CAB9501170.1
Sro101_g051760	CAB9501171.1
Sro101_g051770	CAB9501172.1
Sro101_g051780	CAB9501173.1
Sro101_g051790	CAB9501174.1
Sro101_g051800	CAB9501175.1
Sro101_g051810	CAB9501176.1
Sro101_g051820	CAB9501177.1
Sro101_g051830	CAB9501178.1
Sro101_g051840	CAB9501179.1
Sro102_g051850	CAB9501180.1
Sro102_g051860	CAB9501181.1
Sro102_g051870	CAB9501182.1
Sro102_g051880	CAB9501183.1
Sro102_g051890	CAB9501184.1
Sro102_g051900	CAB9501185.1
Sro102_g051910	CAB9501186.1
Sro102_g051920	CAB9501187.1
Sro102_g051930	CAB9501188.1
Sro102_g051940	CAB9501189.1
Sro102_g051950	CAB9501190.1
Sro102_g051960	CAB9501191.1
Sro102_g051970	CAB9501192.1
Sro102_g051971	CAB9501193.1
Sro102_g051980	CAB9501194.1
Sro102_g051990	CAB9501195.1
Sro102_g052000	CAB9501196.1
Sro102_g052010	CAB9501197.1
Sro102_g052020	CAB9501198.1
Sro102_g052030	CAB9501199.1
Sro102_g052040	CAB9501200.1
Sro102_g052050	CAB9501201.1
Sro102_g052070	CAB9501202.1
Sro102_g052080	CAB9501203.1
Sro102_g052090	CAB9501204.1
Sro102_g052100	CAB9501205.1
Sro102_g052110	CAB9501206.1
Sro102_g052120	CAB9501207.1
Sro102_g052130	CAB9501208.1
Sro102_g052140	CAB9501209.1
Sro102_g052150	CAB9501210.1
Sro102_g052160	CAB9501211.1
Sro102_g052170	CAB9501212.1
Sro102_g052180	CAB9501213.1
Sro102_g052190	CAB9501214.1
Sro102_g052200	CAB9501215.1
Sro102_g052210	CAB9501216.1
Sro102_g052220	CAB9501217.1
Sro102_g052230	CAB9501218.1
Sro102_g052240	CAB9501219.1
Sro102_g052250	CAB9501220.1
Sro102_g052260	CAB9501221.1
Sro102_g052261	CAB9501222.1
Sro103_g052270	CAB9501223.1
Sro103_g052280	CAB9501224.1
Sro103_g052290	CAB9501225.1
Sro103_g052300	CAB9501226.1
Sro103_g052310	CAB9501227.1
Sro103_g052320	CAB9501228.1
Sro103_g052330	CAB9501229.1
Sro103_g052340	CAB9501230.1
Sro103_g052350	CAB9501231.1
Sro103_g052360	CAB9501232.1
Sro103_g052370	CAB9501233.1
Sro103_g052380	CAB9501234.1
Sro103_g052390	CAB9501235.1
Sro103_g052400	CAB9501236.1
Sro103_g052410	CAB9501237.1
Sro103_g052420	CAB9501238.1
Sro103_g052430	CAB9501239.1
Sro103_g052440	CAB9501240.1
Sro103_g052450	CAB9501241.1
Sro103_g052460	CAB9501242.1
Sro103_g052470	CAB9501243.1
Sro103_g052480	CAB9501244.1
Sro103_g052490	CAB9501245.1
Sro103_g052500	CAB9501246.1
Sro103_g052510	CAB9501247.1
Sro103_g052520	CAB9501248.1
Sro103_g052530	CAB9501249.1
Sro103_g052540	CAB9501250.1
Sro103_g052550	CAB9501251.1
Sro103_g052551	CAB9501252.1
Sro103_g052560	CAB9501253.1
Sro103_g052570	CAB9501254.1
Sro103_g052580	CAB9501255.1
Sro103_g052590	CAB9501256.1
Sro103_g052600	CAB9501257.1
Sro103_g052610	CAB9501258.1
Sro103_g052620	CAB9501259.1
Sro103_g052630	CAB9501260.1
Sro104_g052640	CAB9501261.1
Sro104_g052650	CAB9501262.1
Sro104_g052660	CAB9501263.1
Sro104_g052670	CAB9501264.1
Sro104_g052680	CAB9501265.1
Sro104_g052690	CAB9501266.1
Sro104_g052700	CAB9501267.1
Sro104_g052710	CAB9501268.1
Sro104_g052720	CAB9501269.1
Sro104_g052730	CAB9501270.1
Sro104_g052740	CAB9501271.1
Sro104_g052750	CAB9501272.1
Sro104_g052760	CAB9501273.1
Sro104_g052770	CAB9501274.1
Sro104_g052780	CAB9501275.1
Sro104_g052790	CAB9501276.1
Sro104_g052800	CAB9501277.1
Sro104_g052810	CAB9501278.1
Sro104_g052820	CAB9501279.1
Sro104_g052830	CAB9501280.1
Sro104_g052840	CAB9501281.1
Sro104_g052850	CAB9501282.1
Sro104_g052860	CAB9501283.1
Sro104_g052870	CAB9501284.1
Sro104_g052880	CAB9501285.1
Sro104_g052890	CAB9501286.1
Sro104_g052900	CAB9501287.1
Sro104_g052910	CAB9501288.1
Sro104_g052920	CAB9501289.1
Sro104_g052930	CAB9501290.1
Sro104_g052940	CAB9501291.1
Sro104_g052950	CAB9501292.1
Sro104_g052960	CAB9501293.1
Sro104_g052970	CAB9501294.1
Sro104_g052980	CAB9501295.1
Sro104_g052990	CAB9501296.1
Sro104_g053000	CAB9501297.1
Sro104_g053010	CAB9501298.1
Sro104_g053020	CAB9501299.1
Sro104_g053030	CAB9501300.1
Sro104_g053040	CAB9501301.1
Sro104_g053050	CAB9501302.1
Sro105_g053060	CAB9501303.1
Sro105_g053070	CAB9501304.1
Sro105_g053080	CAB9501305.1
Sro105_g053090	CAB9501306.1
Sro105_g053100	CAB9501307.1
Sro105_g053110	CAB9501308.1
Sro105_g053120	CAB9501309.1
Sro105_g053130	CAB9501310.1
Sro105_g053140	CAB9501311.1
Sro105_g053150	CAB9501312.1
Sro105_g053160	CAB9501313.1
Sro105_g053170	CAB9501314.1
Sro105_g053180	CAB9501315.1
Sro105_g053190	CAB9501316.1
Sro105_g053200	CAB9501317.1
Sro105_g053210	CAB9501318.1
Sro105_g053220	CAB9501319.1
Sro105_g053230	CAB9501320.1
Sro105_g053231	CAB9501321.1
Sro105_g053240	CAB9501322.1
Sro105_g053250	CAB9501323.1
Sro105_g053260	CAB9501324.1
Sro105_g053270	CAB9501325.1
Sro105_g053280	CAB9501326.1
Sro105_g053290	CAB9501327.1
Sro105_g053300	CAB9501328.1
Sro105_g053310	CAB9501329.1
Sro105_g053320	CAB9501330.1
Sro105_g053330	CAB9501331.1
Sro105_g053340	CAB9501332.1
Sro105_g053350	CAB9501333.1
Sro105_g053360	CAB9501334.1
Sro105_g053370	CAB9501335.1
Sro105_g053380	CAB9501336.1
Sro105_g053390	CAB9501337.1
Sro105_g053400	CAB9501338.1
Sro106_g053410	CAB9501340.1
Sro106_g053420	CAB9501341.1
Sro106_g053430	CAB9501342.1
Sro106_g053440	CAB9501343.1
Sro106_g053450	CAB9501344.1
Sro106_g053460	CAB9501345.1
Sro106_g053470	CAB9501346.1
Sro106_g053480	CAB9501347.1
Sro106_g053490	CAB9501348.1
Sro106_g053500	CAB9501349.1
Sro106_g053510	CAB9501350.1
Sro106_g053520	CAB9501351.1
Sro106_g053530	CAB9501352.1
Sro106_g053540	CAB9501353.1
Sro106_g053550	CAB9501354.1
Sro106_g053560	CAB9501355.1
Sro106_g053570	CAB9501356.1
Sro106_g053580	CAB9501357.1
Sro106_g053590	CAB9501358.1
Sro106_g053600	CAB9501359.1
Sro106_g053610	CAB9501360.1
Sro106_g053620	CAB9501361.1
