protein_id	gene_id	sel_ml	neu_ml	lrt	pvalue	nom_sig	bonf_sig	qvalue	fdr_sig	orphan	pfam_status	pfam_domains
11743	fgenesh1_pg.C_chr_22000088	-15852.19355	-15919.1986	134.010098	5.44e-31	1	1	6.21e-28	1	N	white	PF03160;PF14312;
24314	estExt_fgenesh1_pg.C_chr_11a0093	-6736.322838	-6799.491711	126.337746	2.59e-29	1	1	1.48e-26	1	N	dark	
23587	estExt_fgenesh1_pg.C_chr_70601	-20587.88105	-20650.59858	125.435072	4.09e-29	1	1	1.56e-26	1	N	dark	
11219	fgenesh1_pg.C_chr_19a_19000162	-9158.295139	-9218.340977	120.091676	6.04e-28	1	1	1.72e-25	1	N	dark	
4556	fgenesh1_pg.C_chr_4000506	-5093.011508	-5151.151721	116.280426	4.13e-27	1	1	9.44e-25	1	Y	dark	
22843	estExt_fgenesh1_pg.C_chr_50674	-10693.43508	-10749.91808	112.965994	2.2e-26	1	1	4.19e-24	1	N	dark	
5829	fgenesh1_pg.C_chr_5000871	-16479.6781	-16535.34485	111.333516	5e-26	1	1	8.16e-24	1	N	white	PF01833;
7217	fgenesh1_pg.C_chr_7000600	-13718.62132	-13770.48354	103.724432	2.33e-24	1	1	3.33e-22	1	N	white	PF21041;
23979	estExt_fgenesh1_pg.C_chr_90184	-8296.129365	-8347.506514	102.754298	3.79e-24	1	1	4.81e-22	1	N	white	PF13831;PF13832;
25140	estExt_fgenesh1_pg.C_chr_16a0104	-11114.87381	-11164.67951	99.611406	1.85e-23	1	1	2.11e-21	1	N	white	PF02791;PF23011;PF02008;
21117	estExt_fgenesh1_pg.C_chr_20064	-3448.707945	-3498.405489	99.395088	2.07e-23	1	1	2.15e-21	1	N	dark	
23692	estExt_fgenesh1_pg.C_chr_80098	-3956.66321	-4005.265717	97.205014	6.25e-23	1	1	5.95e-21	1	N	white	PF12763;
22296	estExt_fgenesh1_pg.C_chr_40480	-7167.822402	-7215.046297	94.44779	2.52e-22	1	1	2.21e-20	1	N	dark	
9127	fgenesh1_pg.C_chr_12000208	-7463.417036	-7509.918884	93.003696	5.22e-22	1	1	4.26e-20	1	N	dark	
22837	estExt_fgenesh1_pg.C_chr_50661	-6370.086283	-6415.31447	90.456374	1.89e-21	1	1	1.44e-19	1	N	dark	
23467	estExt_fgenesh1_pg.C_chr_70355	-4871.186667	-4916.341713	90.310092	2.04e-21	1	1	1.46e-19	1	N	dark	
21774	estExt_fgenesh1_pg.C_chr_30423	-5145.205062	-5189.17557	87.941016	6.74e-21	1	1	4.53e-19	1	N	dark	
2178	fgenesh1_pg.C_chr_2000133	-8691.49752	-8734.902295	86.80955	1.19e-20	1	1	7.55e-19	1	N	white	PF23409;PF23414;PF00400;
2066	fgenesh1_pg.C_chr_2000021	-6392.677783	-6435.938006	86.520446	1.38e-20	1	1	8.3e-19	1	N	dark	
24098	estExt_fgenesh1_pg.C_chr_100016	-5850.076732	-5892.46226	84.771056	3.35e-20	1	1	1.91e-18	1	N	dark	
22882	estExt_fgenesh1_pg.C_chr_50759	-8108.92944	-8150.52961	83.20034	7.41e-20	1	1	4.03e-18	1	N	white	PF09409;PF13374;PF13424;PF13176;
25073	estExt_fgenesh1_pg.C_chr_150279	-8199.754629	-8241.232946	82.956634	8.39e-20	1	1	4.18e-18	1	N	dark	
4445	fgenesh1_pg.C_chr_4000395	-5512.539738	-5554.014155	82.948834	8.42e-20	1	1	4.18e-18	1	N	dark	
1753	fgenesh1_pg.C_chr_1000887	-4230.951043	-4272.015046	82.128006	1.28e-19	1	1	6.09e-18	1	N	dark	
3201	fgenesh1_pg.C_chr_3000135	-4335.786704	-4375.99116	80.408912	3.04e-19	1	1	1.39e-17	1	N	dark	
24141	estExt_fgenesh1_pg.C_chr_100109	-15235.44102	-15274.55318	78.224316	9.2e-19	1	1	4.04e-17	1	N	white	PF10152;PF02181;
20865	estExt_fgenesh1_pg.C_chr_10649	-13083.866	-13122.11907	76.506136	2.2e-18	1	1	9.31e-17	1	N	white	PF12624;PF25036;
24496	estExt_fgenesh1_pg.C_chr_120184	-2973.730752	-3011.793995	76.126486	2.66e-18	1	1	1.09e-16	1	Y	dark	
3404	fgenesh1_pg.C_chr_3000338	-4876.145966	-4913.661963	75.031994	4.63e-18	1	1	1.82e-16	1	N	white	PF01857;
11641	fgenesh1_pg.C_chr_20000237	-6338.061478	-6375.420015	74.717074	5.43e-18	1	1	2.07e-16	1	N	dark	
20959	estExt_fgenesh1_pg.C_chr_10837	-3895.595956	-3932.101647	73.011382	1.29e-17	1	1	4.75e-16	1	N	white	PF00249;
2131	fgenesh1_pg.C_chr_2000086	-5802.630122	-5839.043452	72.82666	1.42e-17	1	1	5.02e-16	1	N	white	PF13191;
6143	fgenesh1_pg.C_chr_6000298	-10491.57818	-10527.96985	72.783332	1.45e-17	1	1	5.02e-16	1	N	white	PF07529;
268544	estExt_thaps1_ua_kg.C_chr_30293	-2650.396827	-2685.997394	71.201134	3.23e-17	1	1	1.09e-15	1	N	white	PF04030;PF01565;
4726	fgenesh1_pg.C_chr_4000676	-7870.37995	-7905.792733	70.825566	3.9e-17	1	1	1.24e-15	1	N	white	PF13329;
11319	fgenesh1_pg.C_chr_19c_29000005	-5649.290502	-5684.698654	70.816304	3.92e-17	1	1	1.24e-15	1	Y	dark	
24974	estExt_fgenesh1_pg.C_chr_150074	-9795.216595	-9829.986507	69.539824	7.49e-17	1	1	2.31e-15	1	N	white	PF18590;PF00931;PF13424;
2425	fgenesh1_pg.C_chr_2000380	-5638.943326	-5673.535025	69.183398	8.97e-17	1	1	2.7e-15	1	Y	dark	
25593	estExt_fgenesh1_pg.C_chr_200059	-12933.51605	-12967.9001	68.768096	1.11e-16	1	1	3.25e-15	1	N	dark	
24958	estExt_fgenesh1_pg.C_chr_150022	-3300.601547	-3334.475656	67.748218	1.86e-16	1	1	5.31e-15	1	Y	dark	
25824	estExt_fgenesh1_pg.C_chr_230031	-4749.104628	-4782.479678	66.7501	3.08e-16	1	1	8.58e-15	1	N	white	PF00400;
21861	estExt_fgenesh1_pg.C_chr_30601	-4572.834921	-4606.129543	66.589244	3.34e-16	1	1	9.08e-15	1	Y	dark	
42965	estExt_gwp_gw1.C_chr_200110	-2193.268221	-2226.392025	66.247608	3.98e-16	1	1	1.06e-14	1	N	white	PF02913;PF01565;
268455	estExt_thaps1_ua_kg.C_chr_30118	-5063.659989	-5096.397428	65.474878	5.89e-16	1	1	1.52e-14	1	N	white	PF20416;PF23099;
24182	estExt_fgenesh1_pg.C_chr_100196	-7492.775772	-7525.499546	65.447548	5.97e-16	1	1	1.52e-14	1	N	dark	
1216	fgenesh1_pg.C_chr_1000350	-6119.507769	-6152.09393	65.172322	6.86e-16	1	1	1.7e-14	1	N	dark	
23671	estExt_fgenesh1_pg.C_chr_80064	-1619.402663	-1651.384034	63.962742	1.27e-15	1	1	3.09e-14	1	Y	dark	
23592	estExt_fgenesh1_pg.C_chr_70608	-2804.039995	-2835.780088	63.480186	1.62e-15	1	1	3.78e-14	1	Y	dark	
25485	estExt_fgenesh1_pg.C_chr_19a_190145	-7787.644345	-7819.384454	63.480218	1.62e-15	1	1	3.78e-14	1	N	dark	
22580	estExt_fgenesh1_pg.C_chr_50132	-3854.722144	-3886.279075	63.113862	1.95e-15	1	1	4.46e-14	1	N	dark	
22869	estExt_fgenesh1_pg.C_chr_50733	-13833.22101	-13864.5189	62.595764	2.54e-15	1	1	5.58e-14	1	N	white	PF09826;PF02732;PF15459;PF04935;PF02204;
24877	estExt_fgenesh1_pg.C_chr_140230	-6364.179529	-6395.477317	62.595576	2.54e-15	1	1	5.58e-14	1	N	dark	
21727	estExt_fgenesh1_pg.C_chr_30320	-7420.739883	-7451.95529	62.430814	2.76e-15	1	1	5.95e-14	1	N	white	PF02141;PF00595;
11825	fgenesh1_pg.C_chr_22000170	-3181.127886	-3212.04284	61.829908	3.74e-15	1	1	7.91e-14	1	Y	dark	
24918	estExt_fgenesh1_pg.C_chr_140296	-2914.798489	-2945.603251	61.609524	4.19e-15	1	1	8.7e-14	1	N	dark	
264621	thaps1_ua_kg.chr_19b_31000012	-4130.06231	-4160.686835	61.24905	5.03e-15	1	1	1.03e-13	1	N	white	PF13191;
20777	estExt_fgenesh1_pg.C_chr_10462	-4803.423775	-4834.004431	61.161312	5.26e-15	1	1	1.05e-13	1	N	white	PF02135;
23540	estExt_fgenesh1_pg.C_chr_70511	-2882.338053	-2912.742002	60.807898	6.29e-15	1	1	1.24e-13	1	N	dark	
