Gene_id	InterPro_description	Pan_gene_category	πN	πS	πN / πS
Sro1_g000010	Leucine-rich repeat domain superfamily (IPR032675)	Core	0.004473480839613	0.004046980781759	1.10538722095641
Sro1_g000020	-	Core	0.001900235937144	0.01682443258832	0.112945023683196
Sro1_g000030	-	Core	0.001793472521322	0.014875322125984	0.120566970323898
Sro1_g000040	HAD superfamily (IPR023214); FCP1 homology domain (IPR004274); HAD-like superfamily (IPR036412)	Core	0.0046494496849	0.024502607142857	0.189753264123805
Sro1_g000050	RelA/SpoT (IPR007685)	Core	0.002001812022161	0.024053291021127	0.083224038673227
Sro1_g000060	-	Core	0.018472701639344	0.00606936416185	3.04359750819673
Sro1_g000070	-	Core	0.0062516481364	0.039031589673913	0.16016893466622
Sro1_g000080	Ccc1 family (IPR008217)	Core	0	0.029552762700965	0
Sro1_g000090	Cyclic nucleotide-binding domain (IPR000595); RmlC-like jelly roll fold (IPR014710); Bestrophin/UPF0187 (IPR021134); Cyclic nucleotide-binding-like (IPR018490)	Core	0.002670286392949	0.018495627117438	0.144373930983485
Sro1_g000100	Cyclic nucleotide-binding domain (IPR000595); RmlC-like jelly roll fold (IPR014710); Bestrophin/UPF0187 (IPR021134); Cyclic nucleotide-binding-like (IPR018490)	Core	No data	No data	No data
Sro1_g000110	-	Core	No data	No data	No data
Sro1_g000120	Chaperone J-domain superfamily (IPR036869)	Core	0.002536402800855	0.024672883803384	0.102801229927838
Sro1_g000130	-	Core	0.001279198998888	0.018433341106719	0.069395938125474
Sro1_g000140	-	Core	0.002941553496989	0.020725659215017	0.141928103056815
Sro1_g000150	Short-chain dehydrogenase/reductase SDR (IPR002347); NAD(P)-binding domain superfamily (IPR036291)	Core	0.006804682910156	0.03267001196319	0.208285289819397
Sro1_g000160	-	Dispensable	No data	No data	No data
Sro1_g000170	-	Core	0.002137197247706	0.014662105752212	0.145763322392075
Sro1_g000180	Zinc finger, MYND-type (IPR002893)	Dispensable	0.008790626036269	0.0350568195	0.250753666808521
Sro1_g000190	Haem peroxidase, plant/fungal/bacterial (IPR002016); Peroxidase, active site (IPR019794); Haem peroxidase (IPR010255)	Core	0.004884594368601	0.043885316981132	0.111303613705257
Sro1_g000200	-	Core	0.006317561604585	0.021912273053892	0.288311558962725
Sro1_g000210	-	Core	0.004597538673084	0.027737215709261	0.165753431104062
Sro1_g000220	-	Core	0.002526479318735	0.039622128148148	0.063764351810893
Sro1_g000230	NAD-dependent epimerase/dehydratase (IPR001509); NAD(P)-binding domain superfamily (IPR036291)	Core	0.003219848155573	0.022225686263736	0.144870584303485
Sro1_g000240	Pancreatic trypsin inhibitor Kunitz domain (IPR002223); Pancreatic trypsin inhibitor Kunitz domain superfamily (IPR036880); Proteinase inhibitor I2, Kunitz, conserved site (IPR020901)	Core	0.001615683649289	0.030729764566929	0.052577156774832
Sro1_g000250	GNAT domain (IPR000182); Acyl-CoA N-acyltransferase (IPR016181)	Core	0.00170323443505	0.037996345287958	0.044826270056814
Sro1_g000260	-	Core	0.004686028763183	0.018818242033384	0.249015224422666
Sro1_g000270	WD40/YVTN repeat-like-containing domain superfamily (IPR015943); Anaphase-promoting complex subunit 4, WD40 domain (IPR024977); WD40 repeat (IPR001680); WD40 repeat, conserved site (IPR019775); WD40-repeat-containing domain (IPR017986); WD40-repeat-containing domain superfamily (IPR036322)	Core	0.001491644408533	0.025840768514852	0.057724460001077
Sro1_g000280	Silicon transporter (IPR004693)	Core	No data	No data	No data
Sro1_g000290	STELLO-like (IPR005049)	Core	No data	No data	No data
Sro1_g000300	-	Core	No data	No data	No data
Sro1_g000310	-	Dispensable	No data	No data	No data
Sro1_g000320	Immunoglobulin-like fold (IPR013783); Filamin/ABP280 repeat-like (IPR017868); Filamin/ABP280 repeat (IPR001298); Immunoglobulin E-set (IPR014756)	Core	0.001729185875879	0.01116315851927	0.154901130615859
Sro1_g000330	Short-chain dehydrogenase/reductase SDR (IPR002347); NAD(P)-binding domain superfamily (IPR036291)	Core	0.000173520562207	0.022881623338736	0.007583402612586
Sro1_g000340	Protein kinase domain (IPR000719); Protein kinase-like domain superfamily (IPR011009)	Core	0.000864088932806	0.009580636388385	0.090191183317835
