protein_id	locus_tag	has_interpro	n_interpro_domains	interpro_ids
XP_002285935.1	THAPSDRAFT_31076	yes	1	IPR001993
XP_002285936.1	THAPSDRAFT_874	no	0	none
XP_002285937.1	THAPSDRAFT_875	no	0	none
XP_002285938.1	THAPSDRAFT_30854	yes	1	IPR001623
XP_002285939.1	THAPSDRAFT_879	no	0	none
XP_002285940.1	THAPSDRAFT_20365	no	0	none
XP_002285941.1	THAPSDRAFT_260744	yes	1	IPR005814
XP_002285942.1	THAPSDRAFT_885	yes	1	IPR007518
XP_002285943.1	THAPSDRAFT_20570	yes	1	IPR006861
XP_002285944.1	THAPSDRAFT_889	no	0	none
XP_002285945.1	THAPSDRAFT_16912	yes	1	IPR000760
XP_002285946.1	THAPSDRAFT_20572	no	0	none
XP_002285947.1	THAPSDRAFT_38933	yes	1	IPR004147
XP_002285948.1	THAPSDRAFT_20576	no	0	none
XP_002285949.1	THAPSDRAFT_20577	no	0	none
XP_002285950.1	THAPSDRAFT_899	no	0	none
XP_002285951.1	THAPSDRAFT_900	yes	1	IPR009723
XP_002285952.1	THAPSDRAFT_20579	no	0	none
XP_002285953.1	THAPSDRAFT_20580	yes	4	IPR000115,IPR000728,IPR002376,IPR010918
XP_002285954.1	THAPSDRAFT_904	no	0	none
XP_002285955.1	THAPSDRAFT_908	no	0	none
XP_002285956.1	THAPSDRAFT_909	no	0	none
XP_002285957.1	THAPSDRAFT_20582	yes	1	IPR002610
XP_002285958.1	THAPSDRAFT_260754	yes	1	IPR002073
XP_002285959.1	THAPSDRAFT_913	no	0	none
XP_002285960.1	THAPSDRAFT_915	no	0	none
XP_002285961.1	THAPSDRAFT_20583	yes	1	IPR000467
XP_002285962.1	THAPSDRAFT_919	no	0	none
XP_002285963.1	THAPSDRAFT_31160	yes	1	IPR007258
XP_002285964.1	THAPSDRAFT_20584	no	0	none
XP_002285965.1	THAPSDRAFT_924	yes	1	IPR000425
XP_002285966.1	THAPSDRAFT_20585	no	0	none
XP_002285967.1	THAPSDRAFT_260757	no	0	none
XP_002285968.1	THAPSDRAFT_38945	yes	1	IPR007194
