locus_tag	has_pfam	pfam_domains
Syncc9902_0003	yes	PF00586;PF02769;PF18072
Syncc9902_0013	yes	PF14698;PF00206
Syncc9902_0019	yes	PF01025
Syncc9902_0023	yes	PF02575
Syncc9902_0025	yes	PF01225;PF02875;PF08245
Syncc9902_0029	yes	PF01132;PF08207;PF09285
Syncc9902_0041	yes	PF01888
Syncc9902_0042	yes	PF00117;PF00958
Syncc9902_0051	yes	PF05690
Syncc9902_0054	yes	PF00453
Syncc9902_0055	yes	PF01632
Syncc9902_0061	yes	PF07724;PF10431;PF06689
Syncc9902_0062	yes	PF00574
Syncc9902_0063	yes	PF00254;PF05698;PF05697
Syncc9902_0065	yes	PF00701
Syncc9902_0081	yes	PF01624;PF05188;PF05192;PF05190;PF00488
Syncc9902_0103	yes	PF00885
Syncc9902_0123	yes	PF21090;PF07517;PF01043;PF07516
Syncc9902_0131	yes	PF00707;PF05198
Syncc9902_0132	yes	PF01715
Syncc9902_0135	yes	PF02537
Syncc9902_0136	yes	PF02537
Syncc9902_0146	yes	PF05221;PF00670
Syncc9902_0154	yes	PF00152;PF01336
Syncc9902_0161	yes	PF01668
Syncc9902_0162	yes	PF17864;PF05496;PF05491
Syncc9902_0167	yes	PF01964
Syncc9902_0170	yes	PF00550
Syncc9902_0171	yes	PF12838
Syncc9902_0176	yes	PF24986;PF01782
Syncc9902_0220	yes	PF03129;PF13393
Syncc9902_0224	yes	PF01788
Syncc9902_0225	yes	PF02419
Syncc9902_0226	yes	PF00283
Syncc9902_0227	yes	PF00283;PF00284
Syncc9902_0228	yes	PF14870
Syncc9902_0230	yes	PF00507
Syncc9902_0231	yes	PF01058
Syncc9902_0232	yes	PF00329
Syncc9902_0247	yes	PF00475
Syncc9902_0260	no	
Syncc9902_0267	yes	PF01702
Syncc9902_0272	yes	PF01808;PF02142
Syncc9902_0275	yes	PF02401
Syncc9902_0277	yes	PF03749;PF17746
Syncc9902_0280	yes	PF00146
Syncc9902_0281	yes	PF13187
Syncc9902_0292	yes	PF00361
Syncc9902_0297	yes	PF10664
Syncc9902_0310	yes	PF13424
Syncc9902_0312	yes	PF02223
Syncc9902_0316	yes	PF26132
Syncc9902_0317;	yes	PF00124
Syncc9902_0328	yes	PF11910
Syncc9902_0341	yes	PF02033
Syncc9902_0346	yes	PF01202
Syncc9902_0353	yes	PF04055;PF18693;PF00919
Syncc9902_0356	yes	PF06514
Syncc9902_0358	yes	PF02673
Syncc9902_0367	yes	PF02601;PF13742
Syncc9902_0378	yes	PF03702
Syncc9902_0409	yes	PF01327
Syncc9902_0471	yes	PF14489
Syncc9902_0472	yes	PF05140
Syncc9902_0483	yes	PF00119
Syncc9902_0484	yes	PF00137
Syncc9902_0485	yes	PF00430
Syncc9902_0486	yes	PF00430
Syncc9902_0487	yes	PF00213
Syncc9902_0488	yes	PF00006;PF00306;PF02874
Syncc9902_0489	yes	PF00231
Syncc9902_0503	yes	PF00401;PF02823
Syncc9902_0504	yes	PF00006;PF02874;PF22919
Syncc9902_0505	yes	PF00166
Syncc9902_0506	yes	PF00118
Syncc9902_0519	yes	PF01192
