Entry	Gene Names	Organism (ID)	Pfam	Protein names	Gene Names (ordered locus)
Q3AUG4	pyrG Syncc9902_2235	316279	PF06418;PF00117;	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	Syncc9902_2235
Q3AUV1	panC/cmk Syncc9902_1914	316279	PF02224;PF02569;	Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	Syncc9902_1914
Q3AV15	psbA2 Syncc9902_1814; psbA3 Syncc9902_1817; psbA4 Syncc9902_2036	316279	PF00124;	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	Syncc9902_1814; Syncc9902_1817; Syncc9902_2036
Q3AVC2	ilvC Syncc9902_1550	316279	PF01450;PF07991;	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	Syncc9902_1550
Q3AVF3	glmU Syncc9902_1328	316279	PF00132;PF12804;	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	Syncc9902_1328
Q3AVV5	ndk Syncc9902_2171	316279	PF00334;	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	Syncc9902_2171
Q3AYB8	psbA1 Syncc9902_0943	316279	PF00124;	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)	Syncc9902_0943
Q3AZ58	mtnD Syncc9902_0651	316279	PF03079;	Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	Syncc9902_0651
Q3AZA0	rlmN Syncc9902_0609	316279	PF04055;PF21016;	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	Syncc9902_0609
Q3AUF2	purT Syncc9902_2314	316279	PF02222;PF21244;PF22660;	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	Syncc9902_2314
Q3AUG1	queC Syncc9902_2238	316279	PF06508;	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	Syncc9902_2238
Q3AUH7	ligA Syncc9902_2205	316279	PF00533;PF01653;PF03119;PF12826;PF14520;PF03120;	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	Syncc9902_2205
Q3AUM0	gcvP Syncc9902_2188	316279	PF21478;PF02347;	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	Syncc9902_2188
Q3AUM3	pyrB Syncc9902_2051	316279	PF00185;PF02729;	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	Syncc9902_2051
Q3AUQ0	pth Syncc9902_2079	316279	PF01195;	Peptidyl-tRNA hydrolase (Pth) (EC 3.1.1.29)	Syncc9902_2079
Q3AUR6	aroC Syncc9902_2040	316279	PF01264;	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Syncc9902_2040
Q3AUT5	psaA Syncc9902_1995	316279	PF00223;	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	Syncc9902_1995
Q3AUT6	psaB Syncc9902_1994	316279	PF00223;	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	Syncc9902_1994
Q3AUU9	purM Syncc9902_1916	316279	PF00586;PF02769;	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	Syncc9902_1916
Q3AUV9	recA Syncc9902_1949	316279	PF21096;PF00154;	Protein RecA (Recombinase A)	Syncc9902_1949
