Entry	Gene Names	InterPro	Pfam	Protein names
B8C9J4	THAPSDRAFT_26365	IPR006180;IPR006176;IPR006108;IPR008927;IPR029045;IPR018376;IPR001753;IPR050136;IPR036291;	PF00725;PF02737;PF00378;	Trifunctional enzyme subunit alpha, mitochondrial (EC 1.1.1.211) (EC 4.2.1.17) (Monolysocardiolipin acyltransferase) (TP-alpha)
A0T0S3	ftsH THAPSDRAFT_bd1720	IPR003593;IPR041569;IPR003959;IPR003960;IPR005936;IPR027417;IPR011546;IPR000642;IPR037219;	PF00004;PF17862;PF06480;PF01434;	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)
B5YNN0	THAPS_29008	IPR036393;IPR045865;IPR054352;IPR001048;IPR005106;IPR001341;IPR011147;IPR001342;IPR036291;	PF00696;PF22468;PF00742;PF03447;	Bifunctional aspartokinase/homoserine dehydrogenase (EC 1.1.1.3, EC 2.7.2.4)
B8BQ53	THAPSDRAFT_1165	IPR027502;IPR029001;IPR002637;	PF01725;	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (XTP/dITP diphosphatase)
B8BV54	THAPSDRAFT_261481	IPR037151;IPR032868;IPR024366;IPR038413;IPR024367;	PF12934;PF12933;	Alpha-ketoglutarate-dependent dioxygenase FTO (EC 1.14.11.53) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (mRNA N(6)-methyladenosine demethylase FTO) (tRNA N1-methyl adenine demethylase FTO)
B8C2D2	THAPSDRAFT_262467	IPR011701;IPR020846;IPR036259;IPR052187;	PF07690;	Lysosomal dipeptide transporter MFSD1 (Major facilitator superfamily domain-containing protein 1)
B8C661	ACD3 THAPSDRAFT_269127	IPR006089;IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	PF00441;PF02770;PF02771;	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-methylbutyryl-coenzyme A dehydrogenase)
B8C6S5	FEN1 THAPSDRAFT_269347	IPR036279;IPR023426;IPR008918;IPR029060;IPR006086;IPR006084;IPR019974;IPR006085;	PF00867;PF00752;	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)
Q4G2T3	desA THAPS_22804	IPR001199;IPR036400;IPR018506;IPR005804;IPR012171;	PF00173;PF00487;	Sphingolipid 10-desaturase (EC 1.14.19.19) (Fatty acid desaturase A) (TpdesA)
A0T0T1	psbC PSBC THAPSDRAFT_bd1545	IPR000932;IPR036001;IPR005869;IPR044900;	PF00421;	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)
A8DP56	rbcL RBL THAPSDRAFT_bd2088	IPR033966;IPR020878;IPR000685;IPR036376;IPR017443;IPR036422;IPR020888;	PF00016;PF02788;	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)
B5YLQ7	THAPS_269942	IPR015424;IPR015421;IPR015422;IPR001085;IPR049943;IPR019798;IPR039429;	PF00464;	Serine hydroxymethyltransferase (EC 2.1.2.1)
