# Provenance:
#   Script: /media/drn2/External/TARA-Oceans/MANUSCRIPT/.wt_ralph58/task2/scripts/pnps_analysis/finalize_pfam_status_20260530_211500.py
#   Source 1: UniProt REST API — all C. reinhardtii proteins (organism_id:3055)
#   Source 2: Ensembl Plants BioMart — creinhardtii_eg_gene, Pfam attribute
#   Source 3: NCBI RefSeq GFF3 — GCF_000002595.2 (gene existence via Phytozome Dbxref)
#   DS3: Flowers et al. 2015 tpc00492 SupplementalDS3 (doi:10.5061/dryad.1n0g6)
#   Date: 2026-05-30 20:43:48
#   Method: Merged UniProt Pfam + Ensembl BioMart Pfam + NCBI GFF3 cross-reference
#
#   Classification:
#     has_pfam=1: gene has >=1 Pfam domain in UniProt and/or BioMart
#     has_pfam=0: gene found in databases but no Pfam domain annotated
#     has_pfam=-1: gene uses old JGI v5.0 ID (g####) not in v5.5/v5.6;
#                  absent from UniProt, Ensembl, and NCBI RefSeq.
#                  These 5,882 genes need hmmsearch on the v5.0 proteome (task 3).
Gene_ID	has_pfam	pfam_domains
Cre01.g000050	1	PF02042
Cre01.g000100	0	
Cre01.g000150	1	PF02535
Cre01.g000200	0	
Cre01.g000250	1	PF09335
Cre01.g000300	1	PF00561
Cre01.g000350	1	PF00175
Cre01.g000400	1	PF03407
Cre01.g000450	1	PF03407
Cre01.g000500	1	PF03407
Cre01.g000550	1	PF03407
Cre01.g000600	1	PF00400,PF08154
Cre01.g000650	1	PF01179,PF02727,PF02728
Cre01.g000750	1	PF13920
Cre01.g000800	0	
Cre01.g000850	1	PF11460
Cre01.g000900	1	PF07082
Cre01.g000950	1	PF07690
Cre01.g001000	0	
Cre01.g001100	0	
Cre01.g001150	0	
Cre01.g001200	1	PF07714
Cre01.g001350	1	PF00005,PF06472
Cre01.g001400	1	PF01457
Cre01.g001550	1	PF00707,PF05198
Cre01.g001600	1	PF00651
Cre01.g001650	1	PF00023,PF12796
Cre01.g001750	1	PF05697,PF05698
Cre01.g001800	1	PF00069
Cre01.g001950	0	
Cre01.g002050	1	PF00328
Cre01.g002100	1	PF01753
Cre01.g002150	0	
Cre01.g002200	1	PF01192
Cre01.g002201	1	PF04031
Cre01.g002227	0	
Cre01.g002236	-1	
Cre01.g002250	1	PF00583
Cre01.g002300	1	PF00160
Cre01.g002350	1	PF00899
Cre01.g002400	1	PF01764
Cre01.g002500	0	
Cre01.g002550	1	PF00069
Cre01.g002600	0	
Cre01.g002650	0	
Cre01.g002700	1	PF23138
Cre01.g002750	0	
Cre01.g002800	-1	
