# Provenance:
#   Script: /media/drn2/External/TARA-Oceans/MANUSCRIPT/.wt_ralph58/task2/scripts/pnps_analysis/download_uniprot_pfam_20260530_202800.py
#   Source: UniProt REST API (organism_id:3055, all proteins)
#   Date: 2026-05-30 20:31:01
#   Total entries: 19802
Entry	Gene Names	Pfam
A2T2X4	IFT46 FAP32 CHLREDRAFT_108954	PF12317;
A8I4E9	FAP100 MIA1 CHLREDRAFT_186878	PF13863;
P05725		PF00961;
P22666	psbH	PF00737;
P26526	atpA	PF00006;PF00306;PF02874;
P48269	ccsA	PF01578;
P49728	petC	PF00355;PF25471;
P50564	ch3-IV	PF00125;
P54345		PF00125;
Q9MBF8	DHC10 IDA2	PF12774;PF12775;PF12780;PF12781;PF18198;PF08385;PF08393;PF25007;PF22597;PF17852;PF18199;PF03028;PF12777;
Q9SMH5	DHC1B DHC2 CHLREDRAFT_24009	PF12774;PF12775;PF12780;PF12781;PF18198;PF08385;PF08393;PF22597;PF21264;PF18199;PF03028;PF12777;
A0A2K3D5Z7	CMD1 CHLRE_12g553400v5	
A4GRC6	HAP2 GCS1	PF10699;
A8J637	PETs EFTS PSRP-7 CHLRE_12g519180v5 CHLREDRAFT_195617	PF25025;PF00889;PF00575;
P07753	psbA	PF00124;
P09204	TUBA1	PF00091;PF03953;
P12154	psaA ps1a1	PF00223;
P54346		PF00125;
Q09JZ4	ODA7 CHLREDRAFT_116664	PF14580;
Q42681	ch3-I	PF00125;
Q9XF62	SSNA1 DIP13	
A8ID55	BLD10 CHLRE_10g418250v5	
A8IU92	CFAP20 BUG22 FAP20 CHLREDRAFT_189631	PF05018;
B8LIX8	IFT25 FAP232 CHLREDRAFT_98791	
P00877	rbcL	PF00016;PF02788;
P20507	CAH1	PF00194;
P31178		PF05548;
P50565	H2B	PF00125;
P54347		PF00125;
Q6LCW8	ch3-II; ch3-III	PF00125;
Q9SMH3	DHC1 IDA1 PF9	PF12774;PF12775;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF17852;PF18199;PF03028;PF12777;
A0A2K3DU55	PGPP1 Cre04.g219900 CHLRE_04g219900v5	PF09419;
A6Q0K5	CP12 CHLREDRAFT_148487	PF02672;
A8JB22	DRC2 CCDC65 FAP250 CHLREDRAFT_106450	PF14772;PF14775;
I2CYZ4	CHLREDRAFT_32523	PF00173;PF00487;
O22448	GPX5 GPXH CHLRE_10g458450v5	PF00255;
P0DO19	LHCSR3.1 LHCSR2 LHCSR3 CHLRE_08g367500v5 CHLREDRAFT_184731	PF00504;
P19824	PRKA	PF00485;
Q00914	psaC	PF12838;
Q7XJ96	DRC4 GAS8 PF2	PF13851;
Q8LPD9	PHOT CHLRE_03g199000v5 CHLREDRAFT_183965	PF13426;PF00069;
Q9XHH2	LC1 CHLREDRAFT_186669	PF12799;
A0A2K3DZC4	BSD2 ZNJ2 CHLRE_03g201050v5 CHLREDRAFT_183954	
M1V4Y8	FAP73 MIA2	PF13863;
P09144	psaB ps1a2	PF00223;
P0DO18	LHCSR3.2 LHCSR2 LHCSR3 CHLRE_08g367400v5 CHLREDRAFT_184730	PF00504;
P46869	FLA10	PF00225;
Q7XA07	D1BLIC CHLREDRAFT_130394	PF08477;
Q93WD2	Lhcb4	PF00504;
A8HMZ4	DRC5 FAP155 CHLREDRAFT_190077	PF13516;
A8ICS9	CFAP46 FAP46 CHLREDRAFT_141109	PF25439;
A8J785	ATPF2 atpG CHLREDRAFT_206190	PF00430;
A8JHB7	FAP CHLRE_12g514200v5 CHLREDRAFT_140509	PF05199;PF00732;
P00873	RBCS1 RBCS-1 CHLRE_02g120100v5 CHLREDRAFT_82986	PF00101;
P04690	TUBB1; TUBB2	PF00091;PF03953;
P06007	psbD	PF00124;
P23400	TRXM	PF00085;
P23577	petA	PF01333;PF16639;
P80028	TRXH	PF00085;
Q00471	petB	PF00033;
Q2HWK7	DES CHLREDRAFT_182572	PF00173;PF00487;
Q39565	ODA4 ODA-4 SUP1	PF12774;PF12775;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF17852;PF18199;PF03028;PF12777;
Q39610	ODA11 ODA-11	PF12774;PF12775;PF12780;PF12781;PF17857;PF18198;PF08393;PF17852;PF18199;PF03028;PF00630;PF07646;PF24681;PF12777;PF01833;
Q3Y8L7	DAW1 ODA16	PF00400;
Q68RJ5	IFT81 CHLREDRAFT_138649	PF18383;
Q9LD46	CRD1	PF02915;
A0A2K3D179	FADS1 CHLRE_13g592500v5	PF24102;PF00994;PF01507;
A8ITV9	CFAP70 FAP70 CHLREDRAFT_12006	
A8J2Z9	FEN1 CHLREDRAFT_130834	PF00867;PF00752;
A8J6J0	SULTR2 CHLREDRAFT_150514	PF01740;PF00916;
A8JA42	DYF13 IFT56 CHLREDRAFT_81760	PF12895;
A8JAM0	DRC7 FAP50 CHLREDRAFT_177591	PF24671;PF24681;PF13516;PF13855;PF24667;
P08197	petJ	PF13442;
P0CH11	UBI1	PF01020;PF00240;
P12759	RSP3	PF06098;
Q39575	ODA2 ODA-2	PF12774;PF12775;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF25007;PF17852;PF18199;PF03028;PF12777;
Q5QD03	SUVH3 SET3	PF02182;PF00856;
Q84V18	STT7	PF00069;
Q8GTZ9	CCS1 CHLREDRAFT_111044 CHLREDRAFT_195343	PF05140;
A1JHN0	HST VTE2-2	PF01040;
A8HN58	IFT27 FAP156 CHLREDRAFT_129193	PF00071;
A8HYJ1	TOC34 CHLREDRAFT_187290	PF04548;
A8IH47	CFAP91 FAP91 CHLREDRAFT_196748	PF14738;PF00612;
A8ITB0	MOC1 MOCH72 CHLREDRAFT_171080 Cre04.g21800	
A8J6X7	CFAP221 FAP221 PCDP1 CHLREDRAFT_176588	PF14874;
D2K6F1	SLT2 CHLREDRAFT_205501	PF03600;PF02080;
P04352		PF13499;
P06541	atpB	PF00006;PF02874;PF22919;
P07839	PETF	PF11591;PF00111;
P07891	atpE	PF00401;PF02823;
P0CH10	UBI3	PF01020;PF00240;
P12113	ATPC	PF00231;
Q39578	ODA9 ODA-9	PF00400;
Q42687	ATPD	PF00213;
Q68UI8	VFL3 CCDC61	
Q6RCE1	IFT74 IFT71 CHLREDRAFT_136521	
Q6UBQ3	RSP2 CHLREDRAFT_186281	PF05186;
Q7PCJ6	rpoC2	PF04983;PF05000;PF04998;
Q93Y52	ppa1 ppaI	PF00719;
Q949J1	ppa2 ppaII	PF00719;
Q94FT3	CHLI	PF17863;PF01078;
Q9SMH4	RAA2 MAA2	PF01509;
A8IJF8	SLT1 CHLREDRAFT_205502	PF03600;PF02080;
A8IQE0	CCDC39 FAP59 CHLREDRAFT_189109	PF24161;
A8IVX2	DRC3 FAP134 CHLREDRAFT_172483	PF14580;
A8IXB8	ARSA2 CHLREDRAFT_102612	PF02374;
A8JF70	ODA1 DCC2 CHLREDRAFT_132719	PF21773;
P0DL09	DRC1	PF14772;PF14775;
P18263	psbK	PF02533;
P27766	ODA6 IC70 ODA-6	
P42380	clpP	PF00574;
P48268	psbE	PF00283;PF00284;
P50362	GAPA	PF02800;PF00044;
P53991	PETH FNR	PF00175;
Q37304	atpH	PF00137;
Q39608	NRT2.1 NAR-3 NAR3 CHLREDRAFT_192090	PF07690;
Q94EY1	PR46b CHLREDRAFT_24002	PF15867;PF13877;
A8IQT2	CCDC40 FAP172 CHLREDRAFT_170513	
A8JGB0	ARSA1 AS1 CHLREDRAFT_132949	PF02374;
D4P3R7	CFAP74 FAP74 CHLREDRAFT_167096	PF22544;PF24778;PF24798;PF24771;
