locus_tag	has_pfam	n_pfam_domains	pfam_domains
Syncc9902_0001	yes	3	PF00712.25;PF02767.22;PF02768.21
Syncc9902_0002	no	0	
Syncc9902_0003	yes	3	PF00586.30;PF02769.28;PF18072.7
Syncc9902_0004	yes	2	PF13522.12;PF13537.12
Syncc9902_0005	yes	1	PF00521.27
Syncc9902_0006	yes	1	PF14559.13
Syncc9902_0007	yes	2	PF08331.16;PF13484.12
Syncc9902_0008	yes	1	PF28006.1
Syncc9902_0009	yes	1	PF04367.19
Syncc9902_0010	yes	1	PF01029.24
Syncc9902_0011	yes	1	PF00448.29
Syncc9902_0012	yes	1	PF07228.18
Syncc9902_0013	yes	2	PF00206.26;PF14698.12
Syncc9902_0014	yes	1	PF00076.29
Syncc9902_0015	yes	1	PF01207.24
Syncc9902_0016	yes	1	PF01641.27
Syncc9902_0017	yes	2	PF03486.21;PF22780.2
Syncc9902_0018	no	0	
Syncc9902_0019	yes	1	PF01025.25
Syncc9902_0020	yes	3	PF00226.37;PF00684.26;PF01556.24
Syncc9902_0021	yes	1	PF01206.23
Syncc9902_0022	yes	1	PF03193.23
Syncc9902_0023	yes	1	PF02575.22
Syncc9902_0024	yes	2	PF01565.29;PF02873.22
Syncc9902_0025	yes	3	PF01225.31;PF02875.27;PF08245.19
Syncc9902_0026	yes	2	PF00044.31;PF02800.26
Syncc9902_0027	yes	1	PF00586.30
Syncc9902_0028	yes	2	PF00160.27;PF21329.3
Syncc9902_0029	yes	3	PF01132.28;PF08207.19;PF09285.18
Syncc9902_0030	yes	1	PF00364.29
Syncc9902_0031	yes	1	PF04166.18
Syncc9902_0032	no	0	
Syncc9902_0033	yes	1	PF01844.30
Syncc9902_0034	yes	2	PF00176.30;PF00271.38
Syncc9902_0035	yes	1	PF20191.4
Syncc9902_0036	yes	1	PF05145.18
Syncc9902_0037	no	0	
Syncc9902_0039	no	0	
Syncc9902_0040	yes	1	PF00266.26
Syncc9902_0041	yes	1	PF01888.23
Syncc9902_0042	yes	2	PF00117.35;PF00958.28
Syncc9902_0043	yes	3	PF08241.19;PF13649.13;PF13847.13
Syncc9902_0044	no	0	
Syncc9902_0045	no	0	
Syncc9902_0046	no	0	
Syncc9902_0047	yes	2	PF00905.28;PF03717.21
Syncc9902_0048	yes	4	PF00534.27;PF13439.13;PF13579.13;PF13692.13
Syncc9902_0049	yes	2	PF01370.28;PF16363.12
Syncc9902_0050	yes	1	PF26394.1
Syncc9902_0051	yes	1	PF05690.21
Syncc9902_0052	no	0	
Syncc9902_0053	no	0	
Syncc9902_0054	yes	1	PF00453.24
Syncc9902_0055	yes	1	PF01632.25
Syncc9902_0056	yes	1	PF08486.16
Syncc9902_0057	yes	3	PF00535.33;PF13632.13;PF13641.13
Syncc9902_0058	yes	4	PF00004.36;PF12169.14;PF13177.13;PF22608.3
Syncc9902_0059	yes	1	PF04970.20
Syncc9902_0060	yes	1	PF00353.26
Syncc9902_0061	yes	4	PF00004.36;PF06689.20;PF07724.21;PF10431.16
Syncc9902_0062	yes	1	PF00574.29
Syncc9902_0063	yes	3	PF00254.35;PF05697.19;PF05698.20
Syncc9902_0064	yes	2	PF01118.31;PF02774.24
Syncc9902_0065	yes	1	PF00701.29
Syncc9902_0066	yes	2	PF00753.34;PF22505.2
Syncc9902_0067	no	0	
Syncc9902_0068	yes	3	PF00696.34;PF01842.32;PF22468.3
Syncc9902_0070	no	0	
Syncc9902_0072	yes	2	PF06144.20;PF21694.3
Syncc9902_0073	yes	1	PF02570.21
Syncc9902_0074	yes	1	PF01171.27
Syncc9902_0075	yes	1	PF04481.19
Syncc9902_0076	yes	1	PF04020.19
Syncc9902_0077	yes	6	PF00271.38;PF02151.26;PF04851.22;PF12344.15;PF17757.7;PF27431.1
Syncc9902_0078	no	0	
Syncc9902_0079	yes	2	PF00583.32;PF13508.14
Syncc9902_0080	no	0	
Syncc9902_0081	yes	5	PF00488.28;PF01624.26;PF05188.24;PF05190.24;PF05192.24
Syncc9902_0082	yes	1	PF01737.23
Syncc9902_0083	yes	1	PF00535.33
Syncc9902_0084	yes	1	PF03102.21
Syncc9902_0085	yes	2	PF01370.28;PF04321.24
Syncc9902_0086	yes	1	PF05050.20
Syncc9902_0087	no	0	
Syncc9902_0088	no	0	
Syncc9902_0089	no	0	
Syncc9902_0090	no	0	
Syncc9902_0091	yes	1	PF00248.28
Syncc9902_0092	yes	2	PF00202.28;PF02348.26
Syncc9902_0093	yes	1	PF02348.26
Syncc9902_0094	no	0	
Syncc9902_0095	yes	1	PF01408.29
Syncc9902_0096	yes	1	PF01041.24
Syncc9902_0097	yes	1	PF13302.14
Syncc9902_0098	no	0	
Syncc9902_0099	yes	1	PF04577.20
Syncc9902_0100	yes	3	PF00702.33;PF02348.26;PF13419.13
Syncc9902_0101	yes	5	PF01073.26;PF01370.28;PF02719.22;PF04321.24;PF16363.12
Syncc9902_0102	no	0	
Syncc9902_0103	yes	1	PF00885.25
Syncc9902_0104	no	0	
Syncc9902_0105	yes	2	PF00534.27;PF13692.13
Syncc9902_0106	no	0	
Syncc9902_0107	no	0	
Syncc9902_0108	no	0	
Syncc9902_0109	yes	3	PF00534.27;PF12000.15;PF13692.13
Syncc9902_0110	no	0	
Syncc9902_0111	yes	3	PF00534.27;PF12000.15;PF13692.13
Syncc9902_0112	no	0	
Syncc9902_0113	yes	1	PF13844.13
Syncc9902_0114	yes	1	PF13844.13
Syncc9902_0115	no	0	
Syncc9902_0116	no	0	
Syncc9902_0117	yes	2	PF00005.34;PF00664.29
Syncc9902_0118	yes	1	PF26002.1
Syncc9902_0119	yes	2	PF00534.27;PF13692.13
Syncc9902_0120	no	0	
Syncc9902_0121	no	0	
Syncc9902_0122	yes	2	PF00534.27;PF13692.13
Syncc9902_0123	yes	4	PF01043.27;PF07516.19;PF07517.21;PF21090.4
Syncc9902_0124	yes	1	PF00535.33
Syncc9902_0125	no	0	
Syncc9902_0127	no	0	
Syncc9902_0128	yes	1	PF00685.34
Syncc9902_0129	yes	1	PF00132.31
Syncc9902_0130	yes	1	PF00392.28
Syncc9902_0131	yes	2	PF00707.28;PF05198.22
Syncc9902_0132	yes	1	PF01715.24
Syncc9902_0133	yes	4	PF00204.32;PF00986.27;PF01751.29;PF02518.32
Syncc9902_0134	no	0	
Syncc9902_0135	yes	1	PF02537.22
Syncc9902_0136	yes	1	PF02537.22
Syncc9902_0137	yes	1	PF00255.26
Syncc9902_0138	yes	3	PF00571.34;PF01769.22;PF03448.23
Syncc9902_0139	yes	4	PF00140.26;PF04539.23;PF04542.21;PF04545.23
Syncc9902_0140	yes	3	PF00561.27;PF12146.16;PF12697.14
Syncc9902_0141	yes	1	PF00487.31
Syncc9902_0143	yes	3	PF00293.35;PF00730.32;PF14815.13
Syncc9902_0144	yes	1	PF00294.30
Syncc9902_0145	yes	1	PF02367.24
Syncc9902_0146	yes	3	PF00670.28;PF02826.26;PF05221.24
