Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9902	dN/dS 70_70	dN/dS PAML
Syncc9902_0001	DNA polymerase III subunit beta (EC:2.7.7.7 )	0.053	0.01	0.191	51.47	100.0	5.614	0.052	0.05	0.0401961209827395
Syncc9902_0002	hypothetical protein	0.099	0.019	0.196	86.27	100.0	7.291	0.101	0.099	0.0878251408262997
Syncc9902_0003	phosphoribosylformylglycinamidine synthase subunit II (EC:6.3.5.3 )	0.099	0.017	0.173	92.35	100.0	10.371	0.1	0.099	0.107302853517849
Syncc9902_0004	amidophosphoribosyltransferase	0.052	0.012	0.226	100.0	100.0	17.382	0.054	0.052	0.061368984144877
Syncc9902_0005	DNA gyrase/topoisomerase IV, subunit A	0.08	0.019	0.235	100.0	100.0	21.147	0.082	0.103	0.156202982489304
Syncc9902_0006	TPR repeat	0.121	0.024	0.202	100.0	100.0	21.252	0.125	0.121	0.230677865768813
Syncc9902_0007	4Fe-4S cluster binding	0.134	0.027	0.199	100.0	100.0	16.283	0.134	0.134	0.379697874862986
Syncc9902_0008	hypothetical protein	0.174	0.036	0.209	100.0	100.0	14.285	0.188	0.174	0.230351785018832
Syncc9902_0009	hypothetical protein	0.037	0.007	0.199	100.0	100.0	13.488	0.034	0.037	0.035669881493628
Syncc9902_0010	transcription antitermination protein NusB	0.156	0.022	0.142	91.98	100.0	7.645	0.166	0.156	0.232038504681554
Syncc9902_0011	Cell division transporter substrate-binding protein FtsY	0.184	0.032	0.172	94.14	100.0	9.667	0.188	0.211	0.181682271169148
Syncc9902_0012	serine phosphatase	0.074	0.015	0.197	100.0	100.0	16.191	0.073	0.075	0.0815592619536408
Syncc9902_0013	argininosuccinate lyase	0.08	0.016	0.198	100.0	100.0	21.231	0.08	0.085	0.0700238761761472
Syncc9902_0014	RNA-binding region RNP-1	0.117	0.02	0.167	77.16	100.0	10.898	0.121	0.127	0.192114184659218
Syncc9902_0015	hypothetical protein	0.126	0.028	0.222	100.0	100.0	19.168	0.126	0.126	0.170870687563921
Syncc9902_0016	Methionine sulfoxide reductase B (EC:1.8.4.6 )	0.178	0.032	0.178	100.0	100.0	19.998	0.163	0.178	0.159359011043676
Syncc9902_0017	hypothetical protein	0.124	0.03	0.241	97.45	100.0	15.826	0.123	0.127	0.141212810913758
Syncc9902_0018	general secretion pathway protein E	0.222	0.014	0.062	39.29	95.24	3.452	0.222	0.344	NaN
Syncc9902_0019	putative heat shock protein GrpE	0.103	0.015	0.148	48.89	100.0	4.099	0.095	0.103	0.228803854675552
Syncc9902_0020	Heat shock protein DnaJ	0.024	0.003	0.135	12.64	99.82	2.95	0.024	0.019	0.0291417532397484
Syncc9902_0021	hypothetical protein	NaN	0.0	0.0	1.73	100.0	3.545	NaN	NaN	0.0
Syncc9902_0022	GTPase EngC	0.165	0.024	0.148	93.02	100.0	6.963	0.178	0.165	0.211062484200337
Syncc9902_0023	hypothetical protein	0.058	0.007	0.13	89.47	100.0	8.509	0.058	0.058	0.518301140608146
