old_locus_tag	protein_id
Syncc9902_0001	WP_011358846.1
Syncc9902_0002	WP_011358847.1
Syncc9902_0003	WP_011358848.1
Syncc9902_0004	WP_011358849.1
Syncc9902_0005	WP_041424666.1
Syncc9902_0006	WP_011358851.1
Syncc9902_0007	WP_041424668.1
Syncc9902_0008	WP_011358853.1
Syncc9902_0009	WP_041424669.1
Syncc9902_0010	WP_011358855.1
Syncc9902_0011	WP_011358856.1
Syncc9902_0012	WP_011358857.1
Syncc9902_0013	WP_198001758.1
Syncc9902_0014	WP_011358859.1
Syncc9902_0015	WP_011358860.1
Syncc9902_0016	WP_011358861.1
Syncc9902_0017	WP_232179308.1
Syncc9902_0018	WP_011358863.1
Syncc9902_0019	WP_011358864.1
Syncc9902_0020	WP_011358865.1
Syncc9902_0021	WP_011358866.1
Syncc9902_0022	WP_011358867.1
Syncc9902_0023	WP_011358868.1
Syncc9902_0024	WP_011358869.1
Syncc9902_0025	WP_011358870.1
Syncc9902_0026	WP_009788528.1
Syncc9902_0027	WP_011358871.1
Syncc9902_0028	WP_041425248.1
Syncc9902_0029	WP_009788525.1
Syncc9902_0030	WP_011358873.1
Syncc9902_0031	WP_011358874.1
Syncc9902_0032	WP_011358875.1
Syncc9902_0033	WP_011358876.1
Syncc9902_0034	WP_232179309.1
Syncc9902_0035	WP_041424673.1
Syncc9902_0036	WP_011358879.1
Syncc9902_0037	WP_011358880.1
Syncc9902_0039	WP_011358882.1
Syncc9902_0040	WP_041425253.1
Syncc9902_0041	WP_011358884.1
Syncc9902_0042	WP_011358885.1
Syncc9902_0043	WP_011358886.1
Syncc9902_0044	WP_232179310.1
Syncc9902_0045	WP_011358888.1
Syncc9902_0046	WP_011358889.1
Syncc9902_0047	WP_011358890.1
Syncc9902_0048	WP_011358891.1
Syncc9902_0049	WP_011358892.1
Syncc9902_0050	WP_011358893.1
Syncc9902_0051	WP_011358894.1
Syncc9902_0052	WP_011358895.1
Syncc9902_0053	WP_011358896.1
Syncc9902_0054	WP_011358897.1
Syncc9902_0055	WP_009788494.1
